state,cx,cy,x,y,w,h,tails,is_stemmed,is_filled,is_sharped,is_flatted,is_naturaled,is_dotted,staff_pitch,pitch,total_pixel,label,duration,beat,sample_rate
1,1130,2404,1106,2384,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,9368.0,F,1.0,23.0,33037
1,1131,2147,1107,2129,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,9369.0,A,1.0,23.0,41624
1,1131,2109,1107,2090,48,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9369.0,C,1.0,23.0,49500
1,1301,2479,1277,2459,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-8.0,-14.0,9539.0,Bb,1.0,23.375,22050
1,1301,2404,1277,2384,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,9539.0,F,1.0,23.375,33037
1,1301,2127,1278,2109,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,9539.0,Bb,1.0,23.375,44100
1,1302,2089,1278,2071,47,38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9540.0,D,1.0,23.375,55562
1,1516,2516,1492,2496,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-10.0,-17.0,9754.0,G,1.0,23.625,18541
1,1516,2385,1492,2364,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,-5.0,9754.0,G,1.0,23.625,37083
1,1517,2127,1492,2107,50,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,9755.0,Bb,1.0,23.625,44100
1,1517,2072,1492,2052,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9755.0,E,1.0,23.625,62366
1,1776,2498,1752,2477,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.0,-15.0,10014.0,A,1.0,24.0,20812
1,1776,2404,1751,2384,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-7.0,10014.0,F,1.0,24.0,33037
1,1776,2109,1751,2089,51,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10014.0,C,1.0,24.0,49500
1,1777,2053,1752,2032,50,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10015.0,F,1.0,24.0,66075
1,1937,2460,1914,2441,47,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.0,-12.0,10175.0,C,1.0,24.375,24750
1,1938,2422,1914,2403,47,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-8.0,10176.0,E,1.0,24.375,31183
1,1937,2109,1913,2089,50,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10175.0,C,1.0,24.375,49500
